id,name,type_1,type_2,img_url,hp,attack,defense,speed
20,raticate,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,55,81,60,97
21,spearow,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,40,60,30,70
22,fearow,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,65,90,65,100
23,ekans,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,35,60,44,55
24,arbok,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,60,95,69,80
25,pikachu,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,35,55,40,90
26,raichu,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,60,90,55,110
27,sandshrew,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,50,75,85,40
28,sandslash,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,75,100,110,65
29,nidoran-f,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,55,47,52,41
30,nidorina,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,70,62,67,56
31,nidoqueen,poison,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,90,92,87,76
32,nidoran-m,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,46,57,40,50
33,nidorino,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,61,72,57,65
34,nidoking,poison,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,81,102,77,85
35,clefairy,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,70,45,48,35
36,clefable,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,95,70,73,60
37,vulpix,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,38,41,40,65
38,ninetales,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,73,76,75,100
39,jigglypuff,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,115,45,20,20
40,wigglytuff,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,140,70,45,45
41,zubat,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,40,45,35,55
42,golbat,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,75,80,70,90
43,oddish,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,45,50,55,30
44,gloom,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,60,65,70,40
45,vileplume,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,75,80,85,50
46,paras,bug,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,35,70,55,25
47,parasect,bug,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,60,95,80,30
48,venonat,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,60,55,50,45
49,venomoth,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,70,65,60,90
50,diglett,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,10,55,25,95
51,dugtrio,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,35,100,50,120
52,meowth,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,40,45,35,90
53,persian,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,65,70,60,115
54,psyduck,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,50,52,48,55
55,golduck,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,80,82,78,85
56,mankey,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,40,80,35,70
57,primeape,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,65,105,60,95
58,growlithe,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,55,70,45,60
59,arcanine,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,90,110,80,95
60,poliwag,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,40,50,40,90
61,poliwhirl,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,65,65,65,90
62,poliwrath,water,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,90,95,95,70
63,abra,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,25,20,15,90
64,kadabra,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,40,35,30,105
65,alakazam,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,55,50,45,120
66,machop,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,70,80,50,35
67,machoke,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,80,100,70,45
68,machamp,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,90,130,80,55
69,bellsprout,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,50,75,35,40
70,weepinbell,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,65,90,50,55
71,victreebel,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,80,105,65,70
72,tentacool,water,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,40,40,35,70
73,tentacruel,water,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,80,70,65,100
74,geodude,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,40,80,100,20
75,graveler,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,55,95,115,35
76,golem,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,80,120,130,45
77,ponyta,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,50,85,55,90
78,rapidash,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,65,100,70,105
79,slowpoke,water,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,90,65,65,15
80,slowbro,water,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,95,75,110,30
81,magnemite,electric,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,25,35,70,45
82,magneton,electric,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,50,60,95,70
83,farfetchd,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,52,90,55,60
84,doduo,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,35,85,45,75
85,dodrio,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,60,110,70,110
86,seel,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,65,45,55,45
87,dewgong,water,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,90,70,80,70
88,grimer,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,80,80,50,25
89,muk,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,105,105,75,50
90,shellder,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,30,65,100,40
91,cloyster,water,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,50,95,180,70
92,gastly,ghost,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,30,35,30,80
93,haunter,ghost,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,45,50,45,95
94,gengar,ghost,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,60,65,60,110
95,onix,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,35,45,160,70
96,drowzee,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,60,48,45,42
97,hypno,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,85,73,70,67
98,krabby,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,30,105,90,50
99,kingler,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,55,130,115,75
100,voltorb,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,40,30,50,100
101,electrode,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,60,50,70,150
102,exeggcute,grass,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,60,40,80,40
103,exeggutor,grass,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,95,95,85,55
104,cubone,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,50,50,95,35
105,marowak,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,60,80,110,45
106,hitmonlee,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,50,120,53,87
107,hitmonchan,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,50,105,79,76
108,lickitung,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,90,55,75,30
109,koffing,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,40,65,95,35
110,weezing,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,65,90,120,60
111,rhyhorn,ground,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,80,85,95,25
112,rhydon,ground,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,105,130,120,40
113,chansey,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,250,5,5,50
114,tangela,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,65,55,115,60
115,kangaskhan,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,105,95,80,90
116,horsea,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,30,40,70,60
117,seadra,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,55,65,95,85
118,goldeen,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,45,67,60,63
119,seaking,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,80,92,65,68
120,staryu,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,30,45,55,85
121,starmie,water,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,60,75,85,115
122,mr-mime,psychic,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,40,45,65,90
123,scyther,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,70,110,80,105
124,jynx,ice,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,65,50,35,95
125,electabuzz,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,65,83,57,105
126,magmar,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,65,95,57,93
127,pinsir,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,65,125,100,85
128,tauros,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,75,100,95,110
129,magikarp,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,20,10,55,80
130,gyarados,water,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,95,125,79,81
131,lapras,water,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,130,85,80,60
132,ditto,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,48,48,48,48
133,eevee,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,55,55,50,55
134,vaporeon,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,130,65,60,65
135,jolteon,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,65,65,60,130
136,flareon,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,65,130,60,65
137,porygon,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,65,60,70,40
138,omanyte,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,35,40,100,35
139,omastar,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,70,60,125,55
140,kabuto,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,30,80,90,55
141,kabutops,rock,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,60,115,105,80
142,aerodactyl,rock,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,80,105,65,130
143,snorlax,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,160,110,65,30
144,articuno,ice,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,90,85,100,85
145,zapdos,electric,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,90,90,85,100
146,moltres,fire,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,90,100,90,90
147,dratini,dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,41,64,45,50
148,dragonair,dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,61,84,65,70
149,dragonite,dragon,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,91,134,95,80
150,mewtwo,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,106,110,90,130
151,mew,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,100,100,100,100
152,chikorita,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,45,49,65,45
153,bayleef,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,60,62,80,60
154,meganium,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,80,82,100,80
155,cyndaquil,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,39,52,43,65
156,quilava,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,58,64,58,80
157,typhlosion,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,78,84,78,100
158,totodile,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,50,65,64,43
159,croconaw,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,65,80,80,58
160,feraligatr,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,85,105,100,78
161,sentret,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,35,46,34,20
162,furret,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,85,76,64,90
163,hoothoot,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,60,30,30,50
164,noctowl,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,100,50,50,70
165,ledyba,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,40,20,30,55
166,ledian,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,55,35,50,85
167,spinarak,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,40,60,40,30
168,ariados,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,70,90,70,40
169,crobat,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,85,90,80,130
170,chinchou,water,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,75,38,38,67
171,lanturn,water,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,125,58,58,67
172,pichu,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,20,40,15,60
173,cleffa,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,50,25,28,15
174,igglybuff,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,90,30,15,15
175,togepi,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,35,20,65,20
176,togetic,fairy,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,55,40,85,40
177,natu,psychic,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,40,50,45,70
178,xatu,psychic,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,65,75,70,95
179,mareep,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,55,40,40,35
180,flaaffy,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,70,55,55,45
181,ampharos,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,90,75,85,55
182,bellossom,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,75,80,95,50
183,marill,water,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,70,20,50,40
184,azumarill,water,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,100,50,80,50
185,sudowoodo,rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,70,100,115,30
186,politoed,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,90,75,75,70
187,hoppip,grass,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,35,35,40,50
188,skiploom,grass,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,55,45,50,80
189,jumpluff,grass,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,75,55,70,110
190,aipom,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,55,70,55,85
191,sunkern,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,30,30,30,30
192,sunflora,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,75,75,55,30
193,yanma,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,65,65,45,95
194,wooper,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,55,45,45,15
195,quagsire,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,95,85,85,35
196,espeon,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,65,65,60,110
197,umbreon,dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,95,65,110,65
198,murkrow,dark,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,60,85,42,91
199,slowking,water,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,95,75,80,30
200,misdreavus,ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,60,60,60,85
201,unown,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,48,72,48,48
202,wobbuffet,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png,190,33,58,33
203,girafarig,normal,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png,70,80,65,85
204,pineco,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png,50,65,90,15
205,forretress,bug,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png,75,90,140,40
206,dunsparce,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png,100,70,70,45
207,gligar,ground,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png,65,75,105,85
208,steelix,steel,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png,75,85,200,30
209,snubbull,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png,60,80,50,30
210,granbull,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png,90,120,75,45
211,qwilfish,water,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png,65,95,85,85
212,scizor,bug,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png,70,130,100,65
213,shuckle,bug,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png,20,10,230,5
214,heracross,bug,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png,80,125,75,85
215,sneasel,dark,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png,55,95,55,115
216,teddiursa,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png,60,80,50,40
217,ursaring,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png,90,130,75,55
218,slugma,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png,40,40,40,20
219,magcargo,fire,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png,60,50,120,30
220,swinub,ice,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png,50,50,40,50
221,piloswine,ice,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png,100,100,80,50
222,corsola,water,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png,65,55,95,35
223,remoraid,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png,35,65,35,65
224,octillery,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png,75,105,75,45
225,delibird,ice,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png,45,55,45,75
226,mantine,water,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png,85,40,70,70
227,skarmory,steel,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png,65,80,140,70
228,houndour,dark,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png,45,60,30,65
229,houndoom,dark,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png,75,90,50,95
230,kingdra,water,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png,75,95,95,85
231,phanpy,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png,90,60,60,40
232,donphan,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png,90,120,120,50
233,porygon2,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png,85,80,90,60
